timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,id
1747533281520,-0.0291648431,0.733025925,1.17806435,-2.5041704,-0.31132354,-0.9054748,163
1747533281530,-0.17254847,0.7907455,1.0501783,-2.4176178,-0.21997711,-1.1163971,164
1747533281540,-0.29897013,0.7475473,0.9701275,-2.3755398,-0.17204021,-1.1201255,165
1747533281550,-0.49934113,0.7167961,0.878118,-2.3707461,-0.23648871,-0.7803062,166
1747533281560,-0.47542354,0.7197248,0.87030816,-2.4181504,-0.35260254,-0.48149952,167
1747533281570,-0.39195594,0.65285313,0.88739216,-2.4165523,-0.5683186,-0.20080236,168
1747533281580,-0.22697324,0.55010504,0.84468216,-2.4266725,-0.6801714,-0.017576864,169
1747533281590,0.04954362,0.6185631,0.81881205,-2.541721,-0.5800365,-0.11132014,170
1747533281600,0.04490653,0.656514,0.8473667,-2.9406626,-0.31691617,-0.6583334,171
1747533281610,-0.049299564,0.67091334,0.9432813,-3.0423954,-0.20772657,-0.8586032,172
1747533281620,-0.19671014,0.6269831,1.044321,-3.0104373,-0.11558119,-0.9214538,173
1747533281630,-0.3470494,0.59013045,1.09776955,-2.8714204,-0.07829694,-0.85487473,174
1747533281640,-0.38512233,0.62503064,1.1177822,-2.700978,-0.2615224,-0.48149952,175
1747533281650,-0.33582276,0.6672525,1.168302,-2.572081,-0.52357745,-0.18216023,176
1747533281660,-0.26992732,0.58134437,1.2173575,-2.3718114,-0.6535397,0.00479369,177
1747533281670,-0.20159128,0.47762007,1.2151611,-1.9768645,-0.56965015,0.1254348925,178
1747533281680,-0.14521407,0.40220633,1.1668377,-1.8375812,-0.509729,0.13901702,179
1747533281690,-0.0593059085,0.282740325,0.88409743,-1.48790815,-0.170708625,0.031691617,180
1747533281700,-0.026724268,0.227583385,0.7553572049999999,-1.4753913,-0.13156016,0.011717909,181
1747533281710,-0.009030119,0.19841854,0.69385475,-1.5739282,-0.06764429,-0.04580637,182
1747533281720,0.06345488,0.18914436,0.6079466,-1.8242654,-0.008522116,-0.17044231,183
1747533281730,0.11275445,0.2186753,0.5520575,-2.2178805,0.075101145,-0.37390783,184
1747533281740,0.019768637,0.3436326,0.7660957,-3.2586439,0.18482338,-0.8644621,185
1747533281750,-0.143017545,0.34436476,1.1485334,-3.47356105,0.096672752,-0.913996905,186
1747533281760,-0.20451997,0.33240595,1.2869139,-3.4706316,0.025033714,-0.88949585,187
1747533281770,-0.2671206499999999,0.32496221,1.3928347,-3.2501218,-0.14966966,-0.6993461,188
1747533281780,-0.42612398,0.29823795,1.6439695,-2.8884647,-0.28815404,-0.4293016,189
1747533281790,-0.34558506,0.353028825,1.6141946,-2.00908875,-0.2399508149999999,-0.0247673995,190
1747533281800,-0.2673647,0.434299875,1.5625765,-1.8892465,-0.18482338,-0.02130529,191
1747533281810,-0.2328306,0.4737151,1.543174,-1.6905746,0.002130529,-0.16192019,192
1747533281820,-0.21428227,0.4829893,1.5429299,-1.5574167,0.14008227,-0.30999196,193
1747533281830,-0.2988481,0.49714462,1.57221675,-1.23783725,0.2330266,-0.426372115,194
1747533281840,-0.3881730399999999,0.5274077,1.55342435,-0.9837717,0.22024343,-0.367249915,195
1747533281850,-0.41135847,0.56474848,1.4942405,-0.908138,0.20719394,-0.3110572,196
1747533281860,-0.40903994,0.58891016,1.4604386,-0.8069378,0.18588865,-0.17576863,197
1747533281870,-0.35193056,0.63162017,1.4267586,-0.757403,0.13901702,-0.06764429,198
1747533281880,-0.20659447,0.63235233,1.4555574,-0.63596287,0.1118527649999999,-0.06924218675,199
1747533281890,-0.14497001,0.613804,1.4846002,-0.5475459,0.12037488,-0.1257012,200
1747533281900,-0.1558305549999999,0.6325963649999999,1.5567192,-0.359526755,0.22077606,-0.28362666,201
1747533281910,-0.17352471,0.64479923,1.5849078,-0.28549087,0.2444782,-0.32863408,202
1747533281920,-0.337775225,0.606116205,1.6516574,0.13475595,0.1949434,-0.28229508,203
1747533281930,-0.3577879,0.58158845,1.6561725,0.36645097,0.1635181,-0.22264028,204
1747533281940,-0.35315084,0.5559624,1.6439695,0.58909124,0.18002969,-0.18695392,205
1747533281950,-0.35168648,0.55523026,1.6239569,0.8005462,0.20612867,-0.1736381,206
1747533281960,-0.3660859,0.5442477,1.5983309,0.9800433,0.2647182,-0.16937704,207
1747533281970,-0.3896374,0.52582135,1.6041883,1.16779615,0.327036185,-0.12996226,208
1747533281980,-0.44369608,0.48518583,1.6254213,1.5222629,0.38136467,-0.006924219,209
1747533281990,-0.47444725,0.47859627,1.63738,1.7326527,0.237820285,0.2005360325,210
1747533282000,-0.5022698,0.4937278,1.6356717,1.91454655,0.0529969099999999,0.44235106,211
1747533282010,-0.46688148,0.47273886,1.6102897,2.0335898,-0.07190535,0.60240704,212
